"decision","photo_name","fish_ID","start_time"
"exclude_50_60","r01381_crop_l.b0046.26_start_60_resid_680.PNG","l.b0046.26",60
"exclude_50_60","r01382_crop_l.b0047.21_start_120_resid_680.PNG","l.b0047.21",120
"exclude_50_60","r01411_crop_l.b0028.30_start_60_resid_672.PNG","l.b0028.30",60
"exclude_50_60","r01426_crop_l.b0046.5_start_120_resid_669.PNG","l.b0046.5",120
"exclude_50_60","r01438_crop_w.b0016.17_start_60_resid_665.PNG","w.b0016.17",60
"exclude_50_60","r01458_crop_l.b0034.55_start_60_resid_660.PNG","l.b0034.55",60
"exclude_50_60","r01459_crop_l.b0046.55_start_0_resid_660.PNG","l.b0046.55",0
"exclude_50_60","r01462_crop_l.b0019.14_start_30_resid_659.PNG","l.b0019.14",30
"exclude_50_60","r01480_crop_l.b0021.27_start_90_resid_652.PNG","l.b0021.27",90
"exclude_50_60","r01491_crop_l.b0026.30_start_180_resid_650.PNG","l.b0026.30",180
"exclude_50_60","r01507_crop_l.b0023.14_start_60_resid_645.PNG","l.b0023.14",60
"exclude_50_60","r01514_crop_l.b0018.51_start_150_resid_643.PNG","l.b0018.51",150
"exclude_50_60","r01523_crop_l.b0040.17_start_0_resid_642.PNG","l.b0040.17",0
"exclude_50_60","r01544_crop_l.b0014.37_start_180_resid_637.PNG","l.b0014.37",180
"exclude_50_60","r01547_crop_l.b0051.7_start_60_resid_637.PNG","l.b0051.7",60
"exclude_50_60","r01588_crop_w.b0040.5_start_150_resid_629.PNG","w.b0040.5",150
"exclude_50_60","r01624_crop_l.b0027.6_start_30_resid_622.PNG","l.b0027.6",30
"exclude_50_60","r01638_crop_w.b0025.11_start_30_resid_618.PNG","w.b0025.11",30
"exclude_50_60","r01640_crop_l.b0037.38_start_90_resid_617.PNG","l.b0037.38",90
"exclude_50_60","r01650_crop_l.b0043.21_start_180_resid_615.PNG","l.b0043.21",180
"exclude_50_60","r01655_crop_l.b0046.52_start_0_resid_614.PNG","l.b0046.52",0
"exclude_50_60","r01680_crop_l.b0045.8_start_0_resid_609.PNG","l.b0045.8",0
"exclude_50_60","r01690_crop_w.b0022.3_start_0_resid_606.PNG","w.b0022.3",0
"exclude_50_60","r01727_crop_l.b0050.33_start_240_resid_599.PNG","l.b0050.33",240
"exclude_50_60","r01737_crop_l.b0053.11_start_180_resid_597.PNG","l.b0053.11",180
"exclude_50_60","r01763_crop_l.b0047.29_start_0_resid_593.PNG","l.b0047.29",0
"exclude_50_60","r01778_crop_l.b0041.11_start_150_resid_590.PNG","l.b0041.11",150
"exclude_50_60","r01807_crop_l.b0042.48_start_240_resid_585.PNG","l.b0042.48",240
"exclude_50_60","r01808_crop_l.b0043.16_start_60_resid_585.PNG","l.b0043.16",60
"exclude_50_60","r01814_crop_l.b0052.20_start_120_resid_584.PNG","l.b0052.20",120
"exclude_50_60","r01847_crop_l.b0057.20_start_30_resid_579.PNG","l.b0057.20",30
"exclude_50_60","r01871_crop_l.b0018.54_start_240_resid_574.PNG","l.b0018.54",240
"exclude_50_60","r01876_crop_w.b0057.12_start_60_resid_574.PNG","w.b0057.12",60
"exclude_50_60","r01915_crop_w.b0049.14_start_90_resid_568.PNG","w.b0049.14",90
"exclude_50_60","r01953_crop_l.b0032.53_start_180_resid_561.PNG","l.b0032.53",180
"exclude_50_60","r02013_crop_l.b0043.16_start_120_resid_551.PNG","l.b0043.16",120
"exclude_50_60","r02040_crop_l.b0037.31_start_120_resid_546.PNG","l.b0037.31",120
"exclude_50_60","r02042_crop_l.b0047.15_start_90_resid_546.PNG","l.b0047.15",90
"exclude_50_60","r02071_crop_l.b0043.33_start_30_resid_543.PNG","l.b0043.33",30
"exclude_50_60","r02087_crop_l.b0010.35_start_210_resid_540.PNG","l.b0010.35",210
"exclude_50_60","r02145_crop_l.b0013.11_start_60_resid_534.PNG","l.b0013.11",60
"exclude_50_60","r02188_crop_l.b0047.36_start_120_resid_529.PNG","l.b0047.36",120
"exclude_50_60","r02203_crop_l.b0032.53_start_120_resid_527.PNG","l.b0032.53",120
"exclude_50_60","r02234_crop_w.b0025.13_start_90_resid_524.PNG","w.b0025.13",90
"exclude_50_60","r02239_crop_l.b0039.50_start_240_resid_523.PNG","l.b0039.50",240
"exclude_50_60","r02243_crop_w.b0028.11_start_240_resid_523.PNG","w.b0028.11",240
"exclude_50_60","r02298_crop_l.b0029.10_start_60_resid_515.PNG","l.b0029.10",60
"exclude_50_60","r02302_crop_l.b0051.14_start_240_resid_515.PNG","l.b0051.14",240
"exclude_50_60","r02331_crop_l.b0046.50_start_30_resid_511.PNG","l.b0046.50",30
"exclude_50_60","r02334_crop_w.b0057.6_start_150_resid_511.PNG","w.b0057.6",150
"exclude_50_60","r02341_crop_w.b0053.15_start_150_resid_510.PNG","w.b0053.15",150
"exclude_50_60","r02349_crop_l.b0022.43_start_270_resid_508.PNG","l.b0022.43",270
"exclude_50_60","r02358_crop_l.b0052.29_start_150_resid_507.PNG","l.b0052.29",150
"exclude_50_60","r02378_crop_l.b0048.48_start_150_resid_503.PNG","l.b0048.48",150
"exclude_50_60","r02425_crop_l.b0039.48_start_120_resid_497.PNG","l.b0039.48",120
"exclude_50_60","r02489_crop_l.b0035.17_start_180_resid_489.PNG","l.b0035.17",180
"exclude_50_60","r02533_crop_l.b0010.4_start_30_resid_484.PNG","l.b0010.4",30
"exclude_50_60","r02562_crop_l.b0052.37_start_60_resid_481.PNG","l.b0052.37",60
"exclude_50_60","r02585_crop_l.b0047.32_start_30_resid_478.PNG","l.b0047.32",30
"exclude_50_60","r02616_crop_l.b0049.3_start_30_resid_475.PNG","l.b0049.3",30
"exclude_50_60","r02619_crop_w.b0057.8_start_120_resid_475.PNG","w.b0057.8",120
"exclude_50_60","r02659_crop_l.b0022.37_start_180_resid_469.PNG","l.b0022.37",180
"exclude_50_60","r02663_crop_l.b0057.22_start_270_resid_469.PNG","l.b0057.22",270
"exclude_50_60","r02674_crop_l.b0052.18_start_270_resid_468.PNG","l.b0052.18",270
"exclude_50_60","r02696_crop_l.b0055.25_start_0_resid_466.PNG","l.b0055.25",0
